Issue Type,Issue key,Parent key,Summary,Description,Status,Priority,Story Points,Sprint,Epic Name,Epic Link,Assignee Role,Start Date,Due Date
Sub-task,SMBG-6-2,SMBG-6,"Integrasi pengiriman 6-digit OTP riil via Fonnte WhatsApp API","Penghubungan form register dengan endpoint API Fonnte tanpa kode bypass atau dummy.",To Do,Highest,2,Sprint 1,,,Backend Developer,2026-09-15,2026-09-16
Sub-task,SMBG-6-3,SMBG-6,"Modal verifikasi kode OTP dan penanganan cooldown 60 detik","Pembuatan komponen UI modal verifikasi OTP interaktif dengan timer hitung mundur pengiriman ulang.",To Do,Highest,1,Sprint 1,,,Frontend Developer,2026-09-15,2026-09-16
Story,SMBG-7,,"Standardisasi Skema Relasi Database PostgreSQL Supabase","Sebagai backend engineer, saya ingin skema basis data yang terstruktur dan terindeks, sehingga integritas data relasional terjamin dan kueri berjalan optimal.",To Do,Highest,5,Sprint 1,,SMBG-3,Database Engineer,2026-09-15,2026-09-17
Sub-task,SMBG-7-1,SMBG-7,"Pembuatan DDL tabel utama user_profiles, products, orders, cart_items, notifications","Penyusunan tabel relasional lengkap dengan tipe data, primary key, dan foreign key constraints.",To Do,Highest,3,Sprint 1,,,Database Engineer,2026-09-15,2026-09-16
Sub-task,SMBG-7-2,SMBG-7,"Penerapan indeks kueri cepat dan Row Level Security (RLS)","Konfigurasi policy keamanan akses data anon/authenticated dan pembuatan index pada kolom sering diakses.",To Do,Highest,2,Sprint 1,,,Database Engineer,2026-09-16,2026-09-17
Story,SMBG-8,,"Katalog Komoditas Pangan Pokok & Seeding Data Lokal","Sebagai Mitra SPPG dan Supplier, saya ingin katalog komoditas pangan dengan acuan harga lokal, sehingga perencanaan pengadaan bahan baku akurat.",To Do,Medium,3,Sprint 1,,SMBG-2,Data Engineer,2026-09-16,2026-09-17
Sub-task,SMBG-8-1,SMBG-8,"Kompilasi data acuan komoditas pangan pokok Garut & Jabar (beras, telur, sayur, daging)","Penetapan master satuan kuantitas (kg, butir, ikat) dan kisaran harga acuan pasar lokal.",To Do,Medium,1,Sprint 1,,,Data Engineer,2026-09-16,2026-09-16
Sub-task,SMBG-8-2,SMBG-8,"Pembuatan script seeding otomatis data master ke tabel database","Eksekusi script penanaman data master komoditas agar siap dikonsumsi langsung oleh katalog web.",To Do,Medium,2,Sprint 1,,,Data Engineer,2026-09-16,2026-09-17
Story,SMBG-9,,"Autentikasi Login & Navigasi Terpadu Multi-Role","Sebagai pengguna terdaftar, saya ingin masuk ke akun saya dan langsung diarahkan ke dasbor sesuai peran saya, sehingga saya dapat langsung mengoperasikan sistem.",To Do,Highest,5,Sprint 1,,SMBG-1,Fullstack Developer,2026-09-16,2026-09-18
Sub-task,SMBG-9-1,SMBG-9,"Integrasi form login multi-peran dan validasi sesi akun aktif","Pengecekan kredensial login via nomor HP/email dan sinkronisasi sesi Supabase Auth.",To Do,Highest,2,Sprint 1,,,Fullstack Developer,2026-09-16,2026-09-17
Sub-task,SMBG-9-2,SMBG-9,"Mekanisme proteksi rute halaman (RBAC) & auto-redirect role dashboard","Penerapan guard halaman agar Mitra, Supplier, Logistik, dan Warga hanya dapat membuka dasbor perannya.",To Do,Highest,2,Sprint 1,,,Frontend Developer,2026-09-17,2026-09-18
Sub-task,SMBG-9-3,SMBG-9,"Penanganan kedaluwarsa sesi token dan auto-logout aman","Pembersihan token autentikasi saat logout atau saat sesi habis dengan pengembalian ke halaman login.",To Do,Highest,1,Sprint 1,,,Frontend Developer,2026-09-18,2026-09-18
Story,SMBG-27,,"Testing Lokal Alur Fungsional Auth dan Register","Sebagai QA Tester, saya ingin menguji alur autentikasi dan pendaftaran di environment lokal, sehingga bug atau kendala data terdeteksi sebelum aplikasi naik ke cloud.",To Do,High,3,Sprint 1,,SMBG-4,QA Tester,2026-09-17,2026-09-18
Sub-task,SMBG-27-1,SMBG-27,"Pengujian registrasi 4 entitas di lingkungan lokal staging","Uji pengisian form Warga, Mitra, Supplier, dan Logistik untuk memastikan validasi berjalan mulus.",To Do,High,1,Sprint 1,,,QA Tester,2026-09-17,2026-09-18
Sub-task,SMBG-27-2,SMBG-27,"Verifikasi pengiriman OTP WhatsApp real & uji kasus gagal/timeout","Pengujian penerimaan pesan WhatsApp OTP riil serta verifikasi penolakan kode OTP yang salah/kedaluwarsa.",To Do,High,1,Sprint 1,,,QA Tester,2026-09-17,2026-09-18
Sub-task,SMBG-27-3,SMBG-27,"Verifikasi integritas penyimpanan data profil baru di basis data","Pengecekan langsung ke tabel database lokal bahwa data pendaftar baru tersimpan lengkap dan tidak hilang.",To Do,High,1,Sprint 1,,,Database Engineer,2026-09-18,2026-09-18
Story,SMBG-28,,"Deployment & Testing Server Staging Lokal","Sebagai DevOps Engineer, saya ingin memverifikasi proses build mandiri dan menjalankan server staging lokal, sehingga kesiapan rilis produksi terjamin bebas error.",To Do,High,3,Sprint 1,,SMBG-3,DevOps Engineer,2026-09-18,2026-09-18
Sub-task,SMBG-28-1,SMBG-28,"Audit typecheck (npm run typecheck) dan linting dengan hasil 0 error","Pengecekan sintaksis TypeScript/JavaScript statis untuk memastikan tidak ada deklarasi tipe yang cacat.",To Do,High,1,Sprint 1,,,Frontend Developer,2026-09-18,2026-09-18
Sub-task,SMBG-28-2,SMBG-28,"Eksekusi build mandiri (npm run build) & verifikasi bundle folder dist","Pembuatan file bundel produksi di lokal dan memastikan ukuran aset teroptimasi.",To Do,High,1,Sprint 1,,,DevOps Engineer,2026-09-18,2026-09-18
Sub-task,SMBG-28-3,SMBG-28,"Menjalankan server preview staging lokal & pengujian akses multi-device lokal","Pengujian running port lokal melalui jaringan LAN untuk memverifikasi performa antarmuka.",To Do,High,1,Sprint 1,,,DevOps Engineer,2026-09-18,2026-09-18
Story,SMBG-11,,"Provisioning Server Cloud VPS Ubuntu 24.04 LTS","Sebagai DevOps Engineer, saya ingin server VPS yang aman dan terisolasi, sehingga aplikasi dapat berjalan stabil 24 jam sehari.",To Do,Highest,5,Sprint 2,,SMBG-3,DevOps Engineer,2026-09-21,2026-09-23
Sub-task,SMBG-11-1,SMBG-11,"Aktivasi VPS spesifikasi 4 vCPU & 8GB RAM di penyedia cloud","Sewa server cloud Ubuntu 24.04 LTS dengan storage NVMe dan alokasi IP publik statis.",To Do,Highest,2,Sprint 2,,,DevOps Engineer,2026-09-21,2026-09-22
Sub-task,SMBG-11-2,SMBG-11,"Hardening server: autentikasi SSH key, nonaktifkan root login, setup firewall UFW","Penerapan standar keamanan server Linux, membuka hanya port 22, 80, dan 443.",To Do,Highest,3,Sprint 2,,,DevOps Engineer,2026-09-22,2026-09-23
Story,SMBG-14,,"Aktivasi Nomor Khusus Bot WhatsApp Gateway Resmi","Sebagai pengguna sistem, saya ingin menerima notifikasi dari nomor WhatsApp resmi Smart MBG, sehingga pesan dapat dipercaya dan tidak dianggap spam.",To Do,High,3,Sprint 2,,SMBG-1,Product Owner,2026-09-21,2026-09-23
Sub-task,SMBG-14-1,SMBG-14,"Pengadaan kartu SIM khusus & registrasi profil WhatsApp Business resmi","Pendaftaran nomor seluler identitas Smart MBG Bot dan penataan profil bisnis resmi.",To Do,High,1,Sprint 2,,,Product Owner,2026-09-21,2026-09-22
Sub-task,SMBG-14-2,SMBG-14,"Tautkan nomor ke platform gateway Fonnte / WABA & tes broadcast berkala","Scan pairing QR code di gateway dan uji ketahanan koneksi tetap online 24 jam.",To Do,High,2,Sprint 2,,,Backend Developer,2026-09-22,2026-09-23
Story,SMBG-12,,"Konfigurasi Nginx Reverse Proxy & SSL TLS Let's Encrypt","Sebagai pengguna web, saya ingin mengakses website melalui koneksi HTTPS yang terenkripsi, sehingga data transaksi saya terlindungi dari penyadapan.",To Do,Highest,5,Sprint 2,,SMBG-3,DevOps Engineer,2026-09-23,2026-09-24
Sub-task,SMBG-12-1,SMBG-12,"Arahkan DNS A-Record domain resmi ke IP publik VPS","Konfigurasi perutean DNS smartmbg.id ke IP server cloud dan cek propagasi DNS global.",To Do,Highest,2,Sprint 2,,,DevOps Engineer,2026-09-23,2026-09-23
Sub-task,SMBG-12-2,SMBG-12,"Instalasi Nginx reverse proxy dan sertifikat SSL TLS Let's Encrypt auto-renew","Pemasangan certbot SSL TLS dengan grade A SSL Labs dan pengalihan otomatis HTTP ke HTTPS.",To Do,Highest,3,Sprint 2,,,DevOps Engineer,2026-09-23,2026-09-24
Story,SMBG-13,,"Migrasi Database Supabase Cloud Produksi & Backup Rutin","Sebagai administrator, saya ingin basis data produksi terlindungi dengan pencadangan berkala otomatis, sehingga data operasional tidak pernah hilang.",To Do,High,3,Sprint 2,,SMBG-3,Database Engineer,2026-09-24,2026-09-25
Sub-task,SMBG-13-1,SMBG-13,"Setup project database Supabase Cloud produksi & migrasi skema tabel","Eksekusi migrasi tabel dan data master awal ke instance Supabase Cloud produksi.",To Do,High,2,Sprint 2,,,Database Engineer,2026-09-24,2026-09-24
Sub-task,SMBG-13-2,SMBG-13,"Konfigurasi cron backup harian otomatis (pg_dump) ke penyimpanan cadangan","Pemasangan skrip otomatis untuk membuat snapshot backup basis data setiap tengah malam.",To Do,High,1,Sprint 2,,,Database Engineer,2026-09-24,2026-09-25
Story,SMBG-15,,"Pipeline CI/CD GitHub Actions untuk Auto-Deploy ke VPS","Sebagai tim developer, saya ingin kode otomatis ter-deploy ke server saat ada pembaruan di branch main, sehingga rilis pembaruan berlangsung cepat dan andal.",To Do,Medium,3,Sprint 2,,SMBG-3,DevOps Engineer,2026-09-24,2026-09-25
Sub-task,SMBG-15-1,SMBG-15,"Pembuatan file konfigurasi .github/workflows/deploy.yml","Penyusunan tahapan build, testing, dan rsync/SSH deployment otomatis via GitHub Actions.",To Do,Medium,2,Sprint 2,,,DevOps Engineer,2026-09-24,2026-09-25
Sub-task,SMBG-15-2,SMBG-15,"Uji coba trigger otomatis rilis ke VPS dan reload PM2/Docker tanpa downtime","Simulasi commit baru ke repositori untuk memvalidasi zero-downtime deployment ke server.",To Do,Medium,1,Sprint 2,,,DevOps Engineer,2026-09-25,2026-09-25
Story,SMBG-16,,"Integrasi End-to-End Pemesanan Bahan Baku SPPG","Sebagai Mitra SPPG, saya ingin memesan bahan pangan ke Supplier melalui web dan menerima notifikasi, sehingga stok dapur harian tercukupi tepat waktu.",To Do,High,5,Sprint 3,,SMBG-2,Fullstack Developer,2026-09-28,2026-09-30
Sub-task,SMBG-16-1,SMBG-16,"Modul keranjang belanja & form checkout pesanan bahan baku SPPG","Pemilihan komoditas, jumlah kilogram/satuan, dan tanggal kebutuhan pengantaran oleh SPPG.",To Do,High,2,Sprint 3,,,Frontend Developer,2026-09-28,2026-09-29
Sub-task,SMBG-16-2,SMBG-16,"Pengiriman pesan notifikasi otomatis via WhatsApp ke Supplier terkait","Trigger pengiriman rincian pesanan bahan baku langsung ke nomor WhatsApp rekanan Supplier.",To Do,High,2,Sprint 3,,,Backend Developer,2026-09-29,2026-09-30
Sub-task,SMBG-16-3,SMBG-16,"Dasbor Supplier untuk konfirmasi stok dan kesiapan pengiriman","Antarmuka bagi Supplier untuk menerima atau menyesuaikan ketersediaan muatan bahan baku.",To Do,High,1,Sprint 3,,,Frontend Developer,2026-09-30,2026-09-30
Story,SMBG-17,,"Penugasan Armada Logistik & Pelacakan Pengantaran","Sebagai koordinator Logistik, saya ingin menugaskan kurir dan memperbarui status muatan, sehingga distribusi bahan pangan transparan dan terpantau.",To Do,High,5,Sprint 3,,SMBG-2,Fullstack Developer,2026-09-30,2026-10-02
Sub-task,SMBG-17-1,SMBG-17,"Fitur penugasan armada kendaraan & kurir penjemput muatan","Pemilihan kurir terdaftar berdasarkan kapasitas kendaraan dan rute dapur SPPG tujuan.",To Do,High,2,Sprint 3,,,Fullstack Developer,2026-09-30,2026-10-01
Sub-task,SMBG-17-2,SMBG-17,"Pembaruan status perjalanan muatan secara berkala (Jemput -> Jalan -> Sampai)","Tombol aksi cepat bagi driver/kurir untuk mengubah status muatan secara real-time.",To Do,High,2,Sprint 3,,,Frontend Developer,2026-10-01,2026-10-02
Sub-task,SMBG-17-3,SMBG-17,"Upload bukti serah terima (foto dokumen/tanda tangan) di gudang SPPG","Fitur penyimpanan foto serah terima barang saat bahan pangan tiba di dapur SPPG penerima.",To Do,High,1,Sprint 3,,,Frontend Developer,2026-10-02,2026-10-02
Story,SMBG-18,,"Proteksi Rate Limiting & Keamanan OTP WhatsApp","Sebagai pengelola sistem, saya ingin membatasi request OTP per nomor dan IP, sehingga sistem terhindar dari spam dan pemborosan kuota pesan.",To Do,Medium,3,Sprint 3,,SMBG-1,Backend Developer,2026-09-30,2026-10-01
Sub-task,SMBG-18-1,SMBG-18,"Penerapan aturan rate limiting (maksimal 3 kali request per 5 menit per nomor)","Pembatasan frekuensi pengiriman OTP untuk menangkis spamming dan bot request otomatis.",To Do,Medium,2,Sprint 3,,,Backend Developer,2026-09-30,2026-10-01
Sub-task,SMBG-18-2,SMBG-18,"Pencatatan log pengiriman OTP & pemblokiran sementara IP mencurigakan","Mekanisme security logging untuk mengaudit riwayat token dan deteksi upaya brute-force.",To Do,Medium,1,Sprint 3,,,Backend Developer,2026-10-01,2026-10-01
Story,SMBG-19,,"Audit Keamanan OWASP Top 10 & Validasi Privasi NIK","Sebagai warga pendaftar, saya ingin data pribadi dan NIK saya terlindungi, sehingga tidak bocor ke publik melalui API respons sistem.",To Do,High,5,Sprint 3,,SMBG-4,Security Analyst,2026-10-01,2026-10-02
Sub-task,SMBG-19-1,SMBG-19,"Uji penetrasi celah keamanan injeksi formulir (SQL Injection, XSS, CSRF)","Sanitasi seluruh parameter input dan pengujian serangan eksploitasi web form.",To Do,High,3,Sprint 3,,,Security Analyst,2026-10-01,2026-10-02
Sub-task,SMBG-19-2,SMBG-19,"Masking NIK dan verifikasi policy RLS database untuk privasi warga","Pencegahan kebocoran data sensitif kependudukan pada endpoint respons publik.",To Do,High,2,Sprint 3,,,Security Analyst,2026-10-02,2026-10-02
Story,SMBG-20,,"Internal UAT & Pengujian Responsif Lintas Perangkat","Sebagai pengguna lintas perangkat, saya ingin tampilan antarmuka web responsif dan lancar di HP Android, iPhone, maupun Laptop, sehingga operasional di lapangan nyaman.",To Do,Medium,3,Sprint 3,,SMBG-4,QA Tester,2026-10-01,2026-10-02
Sub-task,SMBG-20-1,SMBG-20,"Pengujian tampilan antarmuka pada HP Android (Chrome) dan iOS (Safari)","Verifikasi tidak adanya elemen tombol yang terpotong atau form yang sulit ditekan di layar HP.",To Do,Medium,1,Sprint 3,,,QA Tester,2026-10-01,2026-10-02
Sub-task,SMBG-20-2,SMBG-20,"Simulasi skenario bisnis terpadu bersama tim representatif pengguna","Pelaksanaan skenario transaksi lengkap dari pendaftaran hingga verifikasi penerimaan barang.",To Do,Medium,2,Sprint 3,,,QA Tester,2026-10-02,2026-10-02
Story,SMBG-21,,"Uji Coba Pilot Lapangan Terbatas SPPG Cikajang","Sebagai tim proyek, saya ingin menguji sistem dalam operasional nyata di SPPG percontohan, sehingga kehandalan aplikasi tervalidasi sebelum peluncuran terbuka.",To Do,Highest,8,Sprint 4,,SMBG-5,Project Manager,2026-10-05,2026-10-08
Sub-task,SMBG-21-1,SMBG-21,"Simulasi riil pemesanan komoditas pangan oleh Mitra Dapur SPPG Cikajang","Penggunaan langsung sistem oleh pengelola dapur percontohan untuk memesan bahan pangan riil.",To Do,Highest,5,Sprint 4,,,Project Manager,2026-10-05,2026-10-07
Sub-task,SMBG-21-2,SMBG-21,"Evaluasi respon bot WhatsApp & pengumpulan masukan pengguna lapangan","Pencatatan kendala user experience dan perbaikan langsung pada flow yang dirasa membingungkan.",To Do,Highest,3,Sprint 4,,,Fullstack Developer,2026-10-07,2026-10-08
Story,SMBG-22,,"Pembuatan Buku Panduan Pengguna (User Manual PDF)","Sebagai pengguna baru, saya ingin modul panduan bergambar yang mudah dipahami, sehingga saya dapat mengoperasikan akun saya secara mandiri.",To Do,Medium,3,Sprint 4,,SMBG-5,Technical Writer,2026-10-06,2026-10-09
Sub-task,SMBG-22-1,SMBG-22,"Penyusunan modul panduan bergambar untuk Mitra SPPG dan Supplier","Langkah-langkah praktis login, pemesanan bahan, konfirmasi stok, dan cetak invoice.",To Do,Medium,2,Sprint 4,,,Technical Writer,2026-10-06,2026-10-08
Sub-task,SMBG-22-2,SMBG-22,"Penyusunan modul panduan untuk Driver Logistik dan Warga Penerima","Langkah pelaporan perjalanan muatan dan cara warga mengecek menu gizi harian di web.",To Do,Medium,1,Sprint 4,,,Technical Writer,2026-10-08,2026-10-09
Story,SMBG-23,,"Pelatihan Operator BGN & Administrator Pemkab","Sebagai staf pengelola program, saya ingin mendapatkan pelatihan pemakaian dasbor pengawasan, sehingga siap memantau data penerima manfaat.",To Do,High,3,Sprint 4,,SMBG-5,Project Manager,2026-10-08,2026-10-09
Sub-task,SMBG-23-1,SMBG-23,"Sesi workshop & demo sistem daring kepada perwakilan instansi BGN dan Pemkab","Pemaparan fungsi analitik, verifikasi data mitra, dan pemantauan distribusi makan bergizi.",To Do,High,2,Sprint 4,,,Project Manager,2026-10-08,2026-10-09
Sub-task,SMBG-23-2,SMBG-23,"Serah terima akun kredensial administrator utama & SOP teknis sistem","Pemberian akses superadmin beserta dokumen panduan pengelolaan kendala darurat.",To Do,High,1,Sprint 4,,,Project Manager,2026-10-09,2026-10-09
Story,SMBG-24,,"Optimasi Kecepatan Web Caching & Skor Lighthouse","Sebagai pengguna dengan koneksi internet seluler, saya ingin halaman web memuat dengan sangat cepat (< 2 detik), sehingga transaksi tidak terhambat kuota lambat.",To Do,Medium,3,Sprint 4,,SMBG-4,Frontend Developer,2026-10-08,2026-10-09
Sub-task,SMBG-24-1,SMBG-24,"Kompresi aset gambar format WebP & split code modul JavaScript","Pengecilan ukuran bundle frontend agar waktu muat pertama (First Contentful Paint) sangat instan.",To Do,Medium,2,Sprint 4,,,Frontend Developer,2026-10-08,2026-10-09
Sub-task,SMBG-24-2,SMBG-24,"Aktivasi kompresi Brotli/Gzip di Nginx dan pencapaian target skor Lighthouse > 90","Penataan header caching HTTP dan verifikasi audit performa Google Lighthouse di server cloud.",To Do,Medium,1,Sprint 4,,,DevOps Engineer,2026-10-09,2026-10-09
Story,SMBG-25,,"Code Freeze, Snapshot Backup & Gladi Resik Peluncuran","Sebagai Tech Lead, saya ingin mengunci perubahan kode dan menyiapkan snapshot pemulihan, sehingga peluncuran resmi bebas dari kendala tak terduga.",To Do,High,2,Sprint 4,,SMBG-3,DevOps Lead,2026-10-12,2026-10-13
Sub-task,SMBG-25-1,SMBG-25,"Penguncian repositori kode (Code Freeze) 48 jam sebelum hari-H","Pembekuan branch produksi dari penambahan fitur baru untuk menjamin stabilitas sistem.",To Do,High,1,Sprint 4,,,Tech Lead,2026-10-12,2026-10-12
Sub-task,SMBG-25-2,SMBG-25,"Pembuatan full image snapshot server VPS & simulasi failover recovery","Pencadangan menyeluruh sistem operasi, database, dan file statis sebagai titik pemulihan darurat.",To Do,High,1,Sprint 4,,,DevOps Lead,2026-10-12,2026-10-13
Story,SMBG-26,,"Grand Launching Publik Web Resmi Smart MBG","Sebagai masyarakat dan instansi publik, saya ingin mengakses layanan web resmi Smart MBG di domain publik, sehingga program makan bergizi terdigitalisasi secara transparan.",To Do,Highest,5,Sprint 4,,SMBG-5,All Team,2026-10-14,2026-10-14
Sub-task,SMBG-26-1,SMBG-26,"Pembukaan akses domain publik smartmbg.id secara resmi ke publik","Pelepasan status maintenance mode dan pembukaan seluruh formulir registrasi publik.",To Do,Highest,2,Sprint 4,,,All Team,2026-10-14,2026-10-14
Sub-task,SMBG-26-2,SMBG-26,"Pemantauan live traffic 24 jam pertama & publikasi siaran pers resmi","Pengawasan kinerja server, respon bot WhatsApp saat lonjakan pendaftar baru, dan pendampingan user.",To Do,Highest,3,Sprint 4,,,All Team,2026-10-14,2026-10-14
